,stop_name,698 (Harlem)
0,Grand Central,01:51:00 (0)
1,Harlem-125 St,01:38:00 (0)
2,Yankees-E 153 St,
3,Highbridge Yard,
4,Morris Heights,
5,University Heights,
6,Marble Hill,
7,Spuyten Duyvil,
8,Riverdale,
9,Ludlow,
10,Yonkers,
11,Glenwood,
12,Greystone,
13,Hastings-on-Hudson,
14,Dobbs Ferry,
15,Ardsley-on-Hudson,
16,Irvington,
17,Tarrytown,
18,Philipse Manor,
19,Scarborough,
20,Ossining,
21,Croton-Harmon,
22,Cortlandt,
23,Peekskill,
24,Manitou,
25,Garrison,
26,Cold Spring,
27,Breakneck Ridge,
28,Beacon,
29,New Hamburg,
30,Poughkeepsie,
31,Melrose,01:34:40 (0)
32,Tremont,01:31:20 (0)
33,Fordham,01:28:00 (0)
34,Botanical Garden,01:27:00 (0)
35,Williams Bridge,01:26:00 (0)
36,Woodlawn,01:25:00 (0)
37,Wakefield,01:24:00 (0)
38,Mt Vernon West,01:23:00 (0)
39,Fleetwood,01:21:00 (0)
40,Bronxville,01:18:00 (0)
41,Tuckahoe,01:16:00 (0)
42,Crestwood,01:14:00 (0)
43,Scarsdale,01:10:00 (0)
44,Hartsdale,01:06:00 (0)
45,White Plains,01:01:00 (0)
46,North White Plains,00:57:00 (0)
47,Valhalla,00:53:00 (0)
48,Mt Pleasant,00:51:00 (0)
49,Hawthorne,00:49:00 (0)
50,Pleasantville,00:45:00 (0)
51,Chappaqua,00:42:00 (0)
52,Mt Kisco,00:36:00 (0)
53,Bedford Hills,00:32:00 (0)
54,Katonah,00:28:00 (0)
55,Goldens Bridge,00:24:00 (0)
56,Purdy's,00:20:00 (0)
57,Croton Falls,00:17:00 (0)
58,Brewster,00:12:00 (0)
59,Southeast,00:09:00 (0)
60,Patterson,
61,Pawling,
62,Appalachian Trail,
63,Harlem Valley-Wingdale,
64,Dover Plains,
65,Tenmile River,
66,Wassaic,
67,Mt Vernon East ,
68,Pelham,
69,New Rochelle,
70,Larchmont,
71,Mamaroneck,
72,Harrison,
73,Rye,
74,Port Chester,
75,Greenwich,
76,Cos Cob,
77,Riverside,
78,Old Greenwich,
79,Stamford,
80,Glenbrook,
81,Springdale MW Facility,
82,Springdale,
83,Talmadge Hill,
84,New Canaan,
85,Noroton Heights,
86,Darien,
87,Rowayton,
88,South Norwalk,
89,Merritt 7,
90,Wilton,
91,Cannondale,
92,Branchville,
93,Redding,
94,Bethel,
95,Danbury,
96,East Norwalk,
97,Westport,
98,Green's Farms,
99,Southport,
100,Fairfield,
101,Fairfield-Black Rock,
102,Bridgeport,
103,Stratford,
104,Derby-Shelton,
105,Ansonia,
106,Seymour,
107,Beacon Falls,
108,Naugatuck,
109,Waterbury,
110,Milford,
111,West Haven,
112,New Haven,
113,New Haven-State St,
