,stop_name
0,Grand Central
1,Harlem-125 St
2,Yankees-E 153 St
3,Highbridge Yard
4,Morris Heights
5,University Heights
6,Marble Hill
7,Spuyten Duyvil
8,Riverdale
9,Ludlow
10,Yonkers
11,Glenwood
12,Greystone
13,Hastings-on-Hudson
14,Dobbs Ferry
15,Ardsley-on-Hudson
16,Irvington
17,Tarrytown
18,Philipse Manor
19,Scarborough
20,Ossining
21,Croton-Harmon
22,Cortlandt
23,Peekskill
24,Manitou
25,Garrison
26,Cold Spring
27,Breakneck Ridge
28,Beacon
29,New Hamburg
30,Poughkeepsie
31,Melrose
32,Tremont
33,Fordham
34,Botanical Garden
35,Williams Bridge
36,Woodlawn
37,Wakefield
38,Mt Vernon West
39,Fleetwood
40,Bronxville
41,Tuckahoe
42,Crestwood
43,Scarsdale
44,Hartsdale
45,White Plains
46,North White Plains
47,Valhalla
48,Mt Pleasant
49,Hawthorne
50,Pleasantville
51,Chappaqua
52,Mt Kisco
53,Bedford Hills
54,Katonah
55,Goldens Bridge
56,Purdy's
57,Croton Falls
58,Brewster
59,Southeast
60,Patterson
61,Pawling
62,Appalachian Trail
63,Harlem Valley-Wingdale
64,Dover Plains
65,Tenmile River
66,Wassaic
67,Mt Vernon East 
68,Pelham
69,New Rochelle
70,Larchmont
71,Mamaroneck
72,Harrison
73,Rye
74,Port Chester
75,Greenwich
76,Cos Cob
77,Riverside
78,Old Greenwich
79,Stamford
80,Glenbrook
81,Springdale MW Facility
82,Springdale
83,Talmadge Hill
84,New Canaan
85,Noroton Heights
86,Darien
87,Rowayton
88,South Norwalk
89,Merritt 7
90,Wilton
91,Cannondale
92,Branchville
93,Redding
94,Bethel
95,Danbury
96,East Norwalk
97,Westport
98,Green's Farms
99,Southport
100,Fairfield
101,Fairfield-Black Rock
102,Bridgeport
103,Stratford
104,Derby-Shelton
105,Ansonia
106,Seymour
107,Beacon Falls
108,Naugatuck
109,Waterbury
110,Milford
111,West Haven
112,New Haven
113,New Haven-State St
